ريحانة الطبMA MCQ Infections::Page1-14	1- The primary preventive strategy for community-acquired pneumonia is.	Antibiotic therapy	Good hand hygiene	Adherence to healthy lifestyle behaviors	Immunization with pneumococcal and influenza vaccines.		D	Immunization with pneumococcal and influenza vaccines.	Vaccination is the single most effective intervention against the major causes of CAP, Streptococcus pneumoniae and Influenza.	Pneumococcal and Influenza vaccines are the primary prevention for CAP.	CAP Prevention				
ريحانة الطبMA MCQ Infections::Page1-14	2- A 30 years man from Australia returned from a business trip to Indonesia 6d ago presenting with complaints of fever, joint and muscle ache and headache, in particular behind the eye for the past 2 days. What is the most probable diagnosis?	Malaria	Chicken pox	TB	Lyme's disease	Dengue	E	Dengue	The combination of fever, retro-orbital headache, and severe joint/muscle pain (breakbone fever) following travel to endemic Indonesia is classic for Dengue fever.	Dengue is characterized by retro-orbital pain and breakbone fever after travel to tropical/subtropical areas.	Dengue				
ريحانة الطبMA MCQ Infections::Page1-14	3- Which of the following is not a RNA virus?	Hepatitis A virus	Hepatitis B virus	Hepatitis C virus	Hepatitis D virus		B	Hepatitis B virus	Hepatitis B virus (HBV) is a DNA virus (a hepadnavirus). A, C, and D are RNA viruses.	HBV is a DNA virus; all other Hepatitis viruses (A, C, D, E) are RNA viruses.	Viral Hepatitis				
ريحانة الطبMA MCQ Infections::Page1-14	4- The following statements are true regarding leptospirosis, except.	It is zoonosis	Man is the dead end host	Man is an accidental host	Lice act as reservoirs of infection		D	Lice act as reservoirs of infection	Leptospirosis is transmitted by animal urine (zoonosis). Lice are vectors for diseases like relapsing fever, not leptospirosis.	Leptospirosis is a zoonosis spread by animal urine; it is NOT spread by lice.	Leptospirosis				
ريحانة الطبMA MCQ Infections::Page1-14	5- Worldwide, the most common mode of infection with HIV is?	Homosexual transmission	Heterosexual transmission	Blood and blood products	Infected mothers to infants		B	Heterosexual transmission	Globally, heterosexual transmission accounts for the largest number of HIV infections.	Globally, heterosexual sex is the predominant route of HIV transmission.	HIV Epidemiology				
ريحانة الطبMA MCQ Infections::Page1-14	6- Release of which of the following results in fever?	Interleukin (IL) 1	Interleukin (IL) 8	Granulocyte colony-stimulating factor	All of the above		A	Interleukin (IL) 1	Interleukin-1 (IL-1) is a primary endogenous pyrogen that acts on the hypothalamus to raise the body's set point, causing fever.	IL-1, IL-6, and TNF-α are key endogenous pyrogens that trigger fever.	Fever Pathophysiology				
ريحانة الطبMA MCQ Infections::Page1-14	7- The single most useful clinical sign of severity of pneumonia in a person without underlying lung disease is?	Respiratory rate >30/minute	Pulse rate > 100/minute	Hypothermia	Postural fall of SBP>10 mm Hg		A	Respiratory rate >30/minute	A respiratory rate >30 breaths/minute is a key component of severity scores (like CURB-65) and indicates significant respiratory compromise.	A Respiratory Rate >30/min is a major sign of severe pneumonia (CURB-65 criteria).	CAP Severity				
ريحانة الطبMA MCQ Infections::Page1-14	8- Hospital-acquired pneumonia (HAP) is defined as pneumonia occurring how many hours after hospital admission?	At least 12 hours	At least 24 hours	At least 36 hours	At least 48 hours		D	At least 48 hours	HAP is defined as pneumonia developing 48 hours or more after hospital admission.	HAP is defined as pneumonia onset >48 hours after hospital admission.	HAP Definition				
ريحانة الطبMA MCQ Infections::Page1-14	9- Which bacterial pathogen is most common cause of community-acquired pneumonia in adults?	Staphylococcus aureus	Mycoplasma pneumoniae	Streptococcus pneumoniae	Chlamydophila pneumoniae		C	Streptococcus pneumoniae	Streptococcus pneumoniae (Pneumococcus) is the most common bacterial cause of CAP in adults.	Streptococcus pneumoniae is the number one cause of CAP.	CAP Etiology				
ريحانة الطبMA MCQ Infections::Page1-14	10- A 7-year school boy has been dx with meningococcal meningitis. What is the advice for schoolmates and staff?	Rifampicin for the whole class and family	Rifampicin for the whole school and family	Meningococcal vaccine for the family	Benzylpenicillin	IV cefotaxime	A	Rifampicin for the whole class and family	Rifampicin is the drug of choice for chemoprophylaxis in close contacts (including classroom contacts) of a patient with meningococcal meningitis.	Rifampicin (or Ceftriaxone/Cipro) is used for meningococcal prophylaxis in close contacts.	Meningitis Prophylaxis				
ريحانة الطبMA MCQ Infections::Page1-14	1- Rifampicin is used in all except.	Legionnaires' disease	Chemoprophylaxis of meningococcus meningitis	Leprosy	Bartonellosis		D	Bartonellosis	Rifampicin is used for the others. Bartonellosis (Cat-Scratch Disease) is typically treated with macrolides or doxycycline.	Rifampicin is used for TB, Leprosy, Meningitis Prophylaxis, but NOT Bartonellosis.	Antimicrobial Use				
ريحانة الطبMA MCQ Infections::Page1-14	2- Most reliable clue to poor tissue perfusion in septic shock is.	Hyponatraemia	High level of blood lactate	Hypochloraemia	Low level of HCO3​		B	High level of blood lactate	Elevated blood lactate is the most reliable biochemical marker of tissue hypoperfusion and anaerobic metabolism in septic shock.	Lactate level is the best biochemical marker for poor tissue perfusion in shock.	Septic Shock Markers				
